industry_sector,founding_team_size,initial_funding_usd,num_funding_rounds,market_type,country_region,num_competitors_proxy,year_founded,outcome,market_demand,pain_point_severity,idea_novelty,scalability,barriers_to_entry,revenue_model_strength,acquisition_difficulty,willingness_to_pay
Public Transportation,2.0,150000.0,1,Unknown,USA,123.0,2010,failed,5,4,5,5,6,5,6,5
Software,1.0,25000000.0,1,Unknown,USA,3702.0,2003,acquired,7,5,4,9,5,7,6,6
Social Media,1.0,8371002.0,2,B2C,DNK,116.0,2006,acquired,7,4,6,9,4,7,8,5
Biotechnology,2.0,149000000.0,1,Unknown,FRA,1511.0,1996,ipo,9,9,8,7,8,10,5,9
Android,2.0,1000000.0,2,Unknown,USA,2888.0,2013,active,7,5,3,6,4,6,6,6
Biotechnology,2.0,36611963.0,6,Unknown,GBR,1511.0,2002,active,9,9,6,6,7,9,6,8
Manufacturing,2.0,19400000.0,2,B2B,USA,178.0,2000,acquired,8,6,8,8,6,9,4,8
Mobile,2.0,6000000.0,1,Unknown,USA,390.0,1999,acquired,7,5,7,9,6,7,5,6
Security,2.0,1400000.0,1,B2B,GBR,73.0,1995,active,8,8,8,7,6,10,3,10
Finance,2.0,25250000.0,4,Unknown,USA,525.0,2012,ipo,9,8,5,8,7,10,3,9
Software,3.0,355000.0,1,Unknown,USA,6447.0,2012,acquired,7,5,3,8,4,7,6,6
Software,2.0,10384999.0,3,Unknown,USA,5609.0,2006,active,7,5,4,9,4,7,6,6
Games,1.0,3471222.0,6,B2C,USA,2723.0,2007,acquired,8,4,4,7,3,7,9,5
Software,7.0,206121421.0,7,Unknown,USA,36.0,2003,ipo,9,6,8,10,8,9,4,7
Government Innovation,2.0,1650000.0,4,Unknown,USA,1511.0,2011,active,7,5,4,6,4,7,6,6
Biotechnology,2.0,25910257.0,2,Unknown,CHE,999.0,2004,ipo,9,9,7,7,8,10,5,9
Clean Technology,2.0,211403000.0,8,Unknown,USA,531.0,2005,failed,8,8,7,5,9,6,6,5
Software,2.0,700000.0,1,Unknown,USA,8391.0,2010,acquired,7,5,4,8,4,7,6,6
Manufacturing,1.0,36617912.0,3,B2B,USA,75.0,2001,ipo,9,6,7,9,7,9,4,8
Games,3.0,11500000.0,2,B2C,USA,1631.0,2005,acquired,7,4,4,7,3,7,9,5
Payments,2.0,10000000.0,1,Unknown,CHN,1511.0,2014,active,7,5,3,6,4,6,6,6
Biotechnology,2.0,2555672.0,1,Unknown,GBR,723.0,2001,active,8,9,8,5,8,8,5,8
Blogging Platforms,1.0,712000.0,1,Unknown,GBR,6870.0,2007,failed,5,4,3,5,4,5,7,5
Employment,3.0,1600000.0,2,Unknown,USA,8589.0,2011,active,7,5,4,6,4,6,6,6
Social Media,3.0,6400000.0,4,B2C,SGP,9634.0,2010,active,7,4,4,9,3,6,9,5
Advertising,2.0,17000000.0,1,Unknown,USA,3166.0,2008,active,7,5,4,8,5,7,6,6
Identity Management,2.0,45000000.0,3,Unknown,CHE,164.0,1999,ipo,8,6,8,8,7,8,4,7
Mobile,1.0,3750000.0,4,Unknown,ISR,1737.0,2006,failed,6,4,3,7,4,5,7,5
Freelancers,2.0,33011.0,1,Unknown,BEL,1511.0,2010,active,6,5,4,6,4,6,6,5
Biotechnology,2.0,37400000.0,2,Unknown,USA,660.0,2000,acquired,9,9,9,6,9,9,5,9
Small And Medium Businesses,1.0,600000.0,1,Unknown,USA,8391.0,2010,active,6,5,4,6,4,6,6,6
Biotechnology,2.0,25930577.0,5,Unknown,USA,927.0,2011,active,9,9,6,6,7,9,6,8
Real Estate,2.0,2500000.0,2,Unknown,USA,1511.0,1997,acquired,7,5,5,6,4,7,6,6
Health Care,2.0,16980998.0,1,Unknown,USA,660.0,2000,acquired,8,8,7,7,6,9,5,9
Photo Sharing,2.0,1584187.0,3,B2C,USA,7220.0,2012,active,7,5,3,7,4,7,7,6
Trading,2.0,775000.0,1,Unknown,SGP,1511.0,2013,active,6,5,3,6,4,6,6,6
Advertising,2.0,15564591.0,3,Unknown,USA,1654.0,2005,failed,6,4,3,8,5,6,7,5
Enterprise Software,1.0,26000000.0,4,B2B,USA,2862.0,2000,acquired,8,6,5,10,5,10,4,10
Biotechnology,2.0,60330000.0,6,Unknown,USA,147.0,1992,ipo,10,9,10,7,10,10,4,9
Education,2.0,120000.0,1,Unknown,USA,1511.0,2011,acquired,7,8,4,6,4,6,6,6
Local Businesses,2.0,4899605.0,3,Unknown,USA,160.0,2010,acquired,7,5,6,7,6,7,5,6
Mobile,2.0,1526426.0,1,Unknown,USA,1511.0,2001,active,6,5,4,8,4,6,6,6
Microblogging,2.0,200000.0,1,Unknown,DEU,1511.0,2010,active,6,5,4,6,4,6,6,5
Manufacturing,2.0,4900.0,1,B2B,USA,1511.0,2014,active,6,6,3,6,4,7,5,7
Manufacturing,2.0,3000000.0,1,B2B,USA,99.0,2004,active,7,6,7,7,6,8,4,7
Communications Hardware,2.0,120607339.0,2,Unknown,USA,99.0,1996,ipo,8,6,8,7,10,8,4,7
Software,2.0,100000000.0,2,Unknown,CHN,1511.0,2009,ipo,8,6,4,9,6,8,5,7
Hardware + Software,1.0,1905935.0,5,Unknown,USA,569.0,2004,active,7,5,6,8,8,7,5,6
Biotechnology,2.0,54751700.0,4,Unknown,USA,1511.0,1996,ipo,9,9,8,7,8,10,5,9
Software,2.0,65000.0,1,Unknown,USA,1511.0,2009,active,6,5,4,8,4,6,6,5
Biotechnology,2.0,1431003.0,1,Unknown,USA,1236.0,2007,active,7,9,6,5,7,8,6,8
Clean Technology,2.0,192249815.0,9,Unknown,USA,720.0,2009,ipo,10,9,8,7,10,8,4,7
Hardware + Software,2.0,27000.0,1,Unknown,NLD,668.0,2014,active,6,5,5,7,8,6,5,5
Health Care,2.0,10300000.0,2,Unknown,USA,1511.0,2007,active,8,8,4,6,4,9,6,8
Enterprise Software,2.0,11700.0,1,B2B,SGP,1364.0,2013,active,6,6,3,8,4,9,4,9
Advertising,2.0,9060000.0,1,Unknown,AUS,3702.0,2003,active,7,5,4,8,4,6,6,6
Health And Wellness,1.0,4500000.0,1,B2C,USA,498.0,2012,active,8,8,5,7,6,8,6,8
Semiconductors,2.0,5500000.0,1,Unknown,USA,1511.0,2008,active,7,6,6,6,7,6,6,6
Advertising,2.0,28932322.0,4,Unknown,USA,1654.0,2005,acquired,8,5,4,9,5,7,6,6
Digital Media,2.0,56546875.0,4,B2C,USA,1015.0,2003,active,7,4,4,7,3,7,7,5
E-Commerce,1.0,1000000.0,1,B2C,USA,5586.0,2010,active,7,5,4,8,4,6,7,6
Software,2.0,33300000.0,3,Unknown,USA,8391.0,2010,active,7,5,4,9,5,7,6,6
Software,2.0,59700.0,4,Unknown,USA,8391.0,2010,acquired,7,5,4,9,4,7,6,6
Software,2.0,57884800.0,3,Unknown,USA,3132.0,2001,active,7,5,4,9,5,7,6,6
Price Comparison,1.0,13100000.0,3,Unknown,USA,4037.0,2004,acquired,8,5,4,7,4,7,6,6
Biotechnology,2.0,19400000.0,2,Unknown,USA,821.0,2002,failed,7,8,5,5,7,7,7,7
Software,2.0,1286600.0,1,Unknown,IRL,1511.0,2011,active,6,5,4,8,4,6,6,6
Semiconductors,2.0,37891054.0,3,Unknown,USA,259.0,2003,acquired,8,6,8,7,9,7,5,6
Finance,1.0,21000000.0,3,Unknown,USA,3413.0,2004,active,8,8,4,7,5,9,5,8
Manufacturing,2.0,275000.0,1,B2B,IND,1511.0,2011,active,7,6,4,7,4,7,5,7
Software,2.0,65000.0,1,Unknown,USA,1511.0,2007,active,6,5,4,8,4,6,6,5
Mmo Games,1.0,1854110.0,2,B2C,ESP,3280.0,2008,failed,6,3,3,5,3,5,10,4
Lead Management,2.0,40000000.0,2,Unknown,USA,512.0,1999,acquired,8,5,7,7,6,7,5,6
Local Businesses,2.0,750000.0,1,Unknown,USA,160.0,2010,active,6,5,6,6,6,6,5,6
Software,1.0,160000.0,1,Unknown,AUT,3702.0,2003,failed,5,4,3,7,4,5,7,5
Advertising,2.0,50000.0,1,Unknown,USA,3166.0,2008,active,6,5,4,8,4,6,6,5
Search,2.0,161200000.0,4,Unknown,CHN,132.0,1999,active,8,5,8,7,6,7,5,6
Health And Wellness,2.0,100000.0,2,B2C,USA,536.0,2011,active,8,8,5,6,5,8,6,8
Messaging,2.0,200000.0,1,Unknown,GBR,2381.0,2007,failed,5,4,3,5,4,5,7,5
Curated Web,2.0,2000000.0,2,B2C,USA,5396.0,2006,active,7,4,4,6,3,6,9,5
Machine Learning,2.0,4500000.0,1,Unknown,USA,476.0,2008,active,7,5,5,6,6,6,5,6
Mobile,2.0,5568600.0,1,Unknown,GBR,4079.0,2009,acquired,7,5,4,8,4,7,6,6
Software,2.0,5000000.0,1,Unknown,USA,3413.0,2002,acquired,7,5,4,8,4,7,6,6
Consumer Goods,2.0,25000.0,1,B2C,USA,1511.0,2014,active,6,5,3,6,4,6,9,5
Mobile,1.0,232329416.0,4,Unknown,GBR,1737.0,2003,ipo,9,6,5,10,6,8,5,7
Biotechnology,2.0,10150000.0,2,Unknown,USA,1511.0,1995,ipo,9,9,8,6,8,10,5,9
Software,2.0,3000.0,1,Unknown,USA,1511.0,2013,active,5,5,3,7,4,5,6,5
Mobile,2.0,550000.0,2,Unknown,USA,3417.0,2012,active,6,5,3,8,4,6,6,6
Security,1.0,8198838.0,4,B2B,USA,228.0,2002,acquired,9,8,6,8,6,10,3,10
Blogging Platforms,2.0,50000.0,1,Unknown,CAN,7534.0,2011,active,6,5,4,6,4,6,6,5
Semiconductors,2.0,12000000.0,1,Unknown,USA,197.0,2000,acquired,7,6,10,6,8,7,5,6
Clean Technology,2.0,85325657.0,8,Unknown,USA,213.0,2001,active,9,9,8,6,9,7,5,6
Software,2.0,2500000.0,1,Unknown,USA,3132.0,2001,active,7,5,4,8,4,6,6,6
Enterprise Software,2.0,2180175.0,1,B2B,GBR,439.0,1999,acquired,7,6,7,9,6,10,3,10
Communities,1.0,19023247.0,4,Unknown,USA,1346.0,2006,acquired,8,5,4,7,5,7,6,6
Education,2.0,1750000.0,2,Unknown,CHN,3511.0,2010,active,8,8,4,6,4,6,6,6
Wireless,1.0,31000000.0,2,Unknown,ESP,220.0,2005,acquired,8,5,6,7,6,7,5,6
Opinions,1.0,125250000.0,6,Unknown,USA,6870.0,2007,acquired,8,5,4,7,5,8,6,6
Web Hosting,2.0,10000000.0,1,Unknown,ISR,427.0,2000,acquired,7,5,7,7,6,7,5,6
Beauty,2.0,25000.0,2,Unknown,USA,133.0,2007,active,6,5,6,5,5,6,5,5
Software,2.0,15612936.0,1,Unknown,USA,1511.0,2010,active,7,5,4,8,5,7,6,6
Games,1.0,8000000.0,1,B2C,USA,970.0,2000,acquired,7,4,5,7,3,6,9,5
Advertising,2.0,22000000.0,3,Unknown,USA,1511.0,2006,ipo,8,6,4,10,6,8,5,6
E-Commerce,1.0,800000.0,1,B2C,USA,3265.0,2007,failed,6,4,3,7,4,5,8,5
Photography,5.0,6800000.0,2,B2C,USA,246.0,1994,active,7,5,7,7,6,7,6,6
Curated Web,2.0,15000.0,1,B2C,USA,3280.0,2008,failed,5,3,3,5,2,4,10,3
Gambling,1.0,3762066.0,3,Unknown,USA,6870.0,2007,failed,6,4,3,5,4,5,7,5
Search,1.0,110000000.0,1,Unknown,CAN,761.0,2006,acquired,8,5,5,7,6,7,5,6
Software,2.0,2290000.0,1,Unknown,FRA,5609.0,2006,failed,5,4,3,7,4,5,7,5
Sales And Marketing,3.0,800000.0,1,B2B,USA,6447.0,2012,active,7,6,3,7,4,8,5,7
Software,2.0,148600.0,1,Unknown,ESP,7534.0,2011,failed,5,4,3,7,4,5,7,5
Health And Wellness,2.0,11800000.0,1,B2C,ISR,1511.0,2003,ipo,9,8,5,7,5,10,6,9
Archiving,2.0,20000.0,1,Unknown,USA,847.0,2006,failed,5,4,3,4,4,4,7,4
Clean Technology,2.0,1000000.0,1,Unknown,USA,1511.0,2006,active,7,9,6,5,7,6,6,6
Supply Chain Management,2.0,56049556.0,5,B2B,USA,1424.0,2002,active,8,6,4,8,5,9,5,7
Education,2.0,693874.0,1,Unknown,GBR,6870.0,2007,active,7,8,4,6,4,6,6,6
Curated Web,3.0,10400000.0,5,B2C,USA,5396.0,2006,failed,7,3,3,6,3,5,10,4
Games,3.0,30000.0,2,B2C,USA,3774.0,2011,active,6,4,4,6,2,5,9,4
Health Care,2.0,2000000.0,1,Unknown,USA,47.0,1996,active,7,8,9,6,7,8,5,8
User Experience Design,2.0,862000.0,1,Unknown,USA,6544.0,2007,active,6,5,4,6,4,6,6,6
Clean Technology,2.0,1674057.0,2,Unknown,USA,720.0,2009,active,8,9,7,5,8,6,5,6
Curated Web,2.0,646740.0,2,B2C,ITA,8445.0,2008,acquired,7,4,4,7,3,6,9,5
Biotechnology,2.0,659000.0,2,Unknown,USA,1511.0,2009,active,7,9,6,5,7,8,6,8
Linux,2.0,100000.0,1,Unknown,GBR,6544.0,2007,active,6,5,4,6,4,6,6,5
Manufacturing,2.0,650000.0,1,B2B,USA,1511.0,2010,active,7,6,4,7,4,8,5,7
Manufacturing,2.0,846668.0,1,B2B,USA,1511.0,2001,active,7,6,4,7,4,8,5,7
Enterprise Software,2.0,6000000.0,1,B2B,USA,1511.0,2002,acquired,8,6,4,10,4,10,4,10
Games,2.0,549970.0,1,B2C,USA,3186.0,2011,failed,5,3,3,5,3,4,10,4
Biotechnology,2.0,94900000.0,7,Unknown,USA,1285.0,2008,active,9,9,6,6,7,9,6,8
Health Care,2.0,27700000.0,2,Unknown,USA,192.0,2003,acquired,9,8,7,7,6,9,5,9
Advertising,2.0,65000.0,1,Unknown,USA,3166.0,2008,failed,5,4,3,7,4,5,7,5
Health Care,2.0,30200000.0,1,Unknown,USA,1511.0,1999,ipo,9,8,6,7,6,10,5,9
Travel,1.0,291754092.0,2,B2C,USA,789.0,1993,acquired,8,4,7,7,5,7,8,5
Business Intelligence,4.0,500000.0,2,Unknown,USA,729.0,2010,acquired,7,5,5,6,6,7,5,6
Biotechnology,2.0,73000000.0,2,Unknown,USA,1150.0,2006,acquired,9,9,6,6,7,9,6,9
E-Commerce,2.0,2000000.0,2,B2C,IDN,209.0,2011,active,7,5,5,8,6,6,6,6
Peer-To-Peer,2.0,301104.0,2,Unknown,GBR,8445.0,2008,failed,5,4,3,5,4,5,7,5
Games,2.0,1410000.0,1,B2C,ESP,231.0,1996,failed,5,3,6,5,4,4,9,4
Advertising,1.0,6000000.0,1,Unknown,USA,3166.0,2008,acquired,7,5,4,9,4,7,6,6
Software,2.0,217500000.0,3,Unknown,USA,2602.0,1999,ipo,9,6,6,10,6,8,5,7
Web Hosting,2.0,5280000.0,1,Unknown,TUR,1511.0,1997,active,7,5,5,6,4,6,6,6
Services,1.0,85500000.0,5,Unknown,USA,4669.0,2005,active,8,5,4,7,5,7,6,6
Media,2.0,500000.0,1,B2C,IDN,918.0,2010,failed,5,3,3,5,3,4,8,4
Banking,2.0,35000000.0,1,Unknown,USA,1511.0,2007,ipo,8,6,4,7,6,8,5,7
Web Hosting,1.0,54000000.0,4,Unknown,USA,796.0,2011,active,7,5,5,7,6,7,5,6
Social Media,1.0,124000000.0,3,B2C,CHN,1010.0,2008,active,8,4,4,9,3,7,9,5
Biotechnology,2.0,806733.0,2,Unknown,USA,1126.0,2010,active,8,9,6,5,7,8,6,8
Search,2.0,32500000.0,5,Unknown,USA,2176.0,2006,acquired,8,5,4,7,5,8,6,6
Semiconductors,2.0,18905096.0,2,Unknown,USA,1511.0,2011,acquired,8,6,6,6,7,7,6,6
Health And Wellness,2.0,4300000.0,1,B2C,USA,231.0,2006,active,8,8,5,7,6,8,6,8
News,1.0,40000.0,1,B2C,USA,328.0,2011,active,6,5,5,6,5,6,6,5
Curated Web,1.0,8832393.0,3,B2C,USA,8445.0,2008,active,7,4,4,7,3,6,9,5
Health Care,2.0,32676154.0,4,Unknown,USA,282.0,2008,failed,7,7,4,6,6,8,6,8
Software,2.0,28999999.0,3,Unknown,USA,3702.0,2003,acquired,8,5,4,9,5,7,6,6
Messaging,4.0,50000.0,3,Unknown,USA,194.0,2010,active,6,5,6,6,5,6,5,5
Analytics,1.0,84491709.0,6,B2B,USA,346.0,2007,acquired,9,6,5,10,6,10,3,10
Biotechnology,1.0,474000.0,1,Unknown,CAN,1511.0,2010,active,7,9,6,5,7,8,6,8
Intellectual Asset Management,2.0,262634.0,1,Unknown,BEL,5080.0,2013,active,6,5,3,6,4,6,6,6
Communications Hardware,5.0,328600000.0,5,Unknown,USA,298.0,2005,ipo,9,6,6,8,10,9,4,7
Health Care,2.0,73892358.0,3,Unknown,USA,162.0,1993,ipo,9,8,8,8,7,10,4,9
Technology,1.0,87000000.0,6,Unknown,CHN,337.0,1998,ipo,9,6,7,8,7,8,4,7
Biotechnology,2.0,1200000.0,1,Unknown,USA,597.0,1999,failed,6,8,8,4,8,7,6,7
Curated Web,2.0,15000.0,1,B2C,USA,9634.0,2010,failed,5,3,3,5,2,4,10,3
Hardware + Software,2.0,4940000.0,2,Unknown,USA,630.0,2005,acquired,7,5,6,8,8,7,5,6
Biotechnology,2.0,46077411.0,3,Unknown,USA,1511.0,1992,active,8,9,7,6,7,9,6,8
Mobile,2.0,855000.0,2,Unknown,USA,3774.0,2011,active,7,5,4,8,4,6,6,6
Consulting,2.0,375000.0,1,Unknown,USA,1511.0,2009,active,6,5,4,6,4,6,6,6
Wireless,2.0,43400000.0,3,Unknown,CAN,672.0,2002,acquired,8,5,6,7,6,8,5,6
Health And Wellness,2.0,1514985.0,2,B2C,USA,2980.0,2013,active,8,8,3,6,4,8,7,8
Mobile,2.0,1276000.0,2,Unknown,USA,3774.0,2011,active,7,5,4,8,4,6,6,6
Clean Technology,2.0,5000000.0,1,Unknown,ISR,1511.0,2005,active,8,9,6,6,7,6,6,6
Hardware + Software,2.0,1811941.0,1,Unknown,USA,912.0,2011,active,6,5,4,8,7,6,6,6
Apps,2.0,8000000.0,2,Unknown,USA,4790.0,2010,acquired,7,5,4,7,4,7,6,6
Brand Marketing,2.0,8375000.0,8,B2B,USA,3128.0,2011,ipo,9,6,4,8,5,10,5,8
E-Commerce,2.0,18000000.0,2,B2C,ISR,510.0,1997,acquired,8,5,7,9,6,7,6,6
Software,2.0,600000.0,1,Unknown,USA,7617.0,2008,failed,5,4,3,7,4,5,7,5
Consumer Electronics,2.0,100000.0,1,B2C,USA,1511.0,2013,active,6,5,3,6,4,6,9,5
Mobile,1.0,1800000.0,1,Unknown,CAN,3774.0,2011,acquired,7,5,4,8,4,7,6,6
Video,1.0,134191580.0,5,B2C,USA,2710.0,2007,active,9,5,4,7,5,7,7,6
E-Commerce,2.0,6386422.0,3,B2C,USA,99.0,2004,acquired,8,5,7,10,6,7,6,6
Mobile,1.0,600000.0,1,Unknown,USA,3774.0,2011,failed,5,4,3,7,4,5,7,5
Health Care,1.0,145540487.0,6,Unknown,USA,821.0,2002,ipo,10,8,5,8,6,10,5,9
Social Commerce,2.0,1000000.0,1,Unknown,USA,669.0,2009,failed,5,3,4,5,4,4,8,4
Biotechnology,2.0,1613014.0,1,Unknown,USA,431.0,1997,active,7,9,9,5,8,8,5,8
Internet Marketing,2.0,300000.0,1,B2B,USA,3166.0,2008,active,7,6,4,7,4,7,5,7
Events,2.0,115000.0,1,Unknown,USA,3969.0,2009,failed,5,4,3,5,4,5,7,5
Social Network Media,2.0,50000.0,1,B2C,ARG,7220.0,2012,failed,5,3,2,5,2,4,10,4
Games,2.0,197597.0,1,B2C,DEU,3597.0,2010,failed,5,3,3,5,3,4,10,4
Advertising,2.0,5000000.0,1,Unknown,USA,761.0,2006,active,7,5,5,8,6,6,5,6
Biotechnology,2.0,34296337.0,4,Unknown,USA,1150.0,2006,active,8,9,6,6,7,9,6,8
Software,2.0,789000.0,1,Unknown,GBR,560.0,2003,failed,5,4,5,7,6,5,6,5
E-Commerce,1.0,775000.0,1,B2C,USA,5210.0,2011,active,7,5,4,8,4,6,7,6
Software,2.0,4200000.0,1,Unknown,FRA,2862.0,2000,acquired,7,5,5,8,4,7,6,6
E-Commerce,2.0,9600000.0,2,B2C,CHN,1511.0,2005,active,7,5,4,9,4,7,7,6
Games,2.0,2000000.0,1,B2C,USA,1554.0,1996,active,6,4,5,6,3,6,9,5
Multi-Level Marketing,2.0,35000000.0,1,B2B,USA,1511.0,2011,ipo,8,6,4,8,6,9,5,8
Software,2.0,1230000.0,1,Unknown,FRA,2318.0,1998,active,6,5,5,8,4,6,6,6
Music,1.0,4500000.0,1,B2C,USA,1039.0,1999,acquired,7,4,5,7,3,6,7,5
Business Intelligence,2.0,9100000.0,3,Unknown,USA,3702.0,2003,failed,6,4,3,6,4,5,7,5
Health Care,2.0,31163000.0,4,Unknown,USA,247.0,2011,ipo,9,8,6,8,7,10,4,9
Health Care,1.0,80971347.0,4,Unknown,USA,1511.0,2002,ipo,9,8,5,8,6,10,5,9
Internet,2.0,4100000.0,3,Unknown,BRA,1511.0,2012,active,7,5,3,7,4,7,6,6
Recruiting,2.0,12500.0,1,B2B,PER,1511.0,2013,active,6,6,3,6,4,7,5,7
Software,2.0,271472.0,1,Unknown,ITA,3702.0,2003,active,6,5,4,8,4,6,6,6
Curated Web,2.0,9294801.0,2,B2C,USA,6870.0,2007,active,7,4,4,7,3,6,9,5
Enterprise Software,2.0,1434300.0,1,B2B,GBR,1661.0,2007,failed,6,5,3,8,4,8,5,9
Software,2.0,19299.0,1,Unknown,DEU,5080.0,2013,active,6,5,3,7,4,6,6,5
Curated Web,1.0,287032.0,1,B2C,NLD,5396.0,2006,failed,5,3,3,5,3,4,10,4
Software,2.0,666154.0,1,Unknown,USA,1511.0,2010,active,6,5,4,8,4,6,6,6
Consumer Electronics,2.0,150000.0,1,B2C,USA,1511.0,2010,active,7,5,4,6,4,6,9,5
Medical,2.0,12900000.0,1,Unknown,USA,308.0,2007,active,8,9,7,6,8,6,5,6
Audio,2.0,4950000.0,2,Unknown,USA,1511.0,2012,active,7,5,3,6,4,7,6,6
Fashion,2.0,1370146.0,1,B2C,USA,1511.0,2000,active,6,4,5,6,3,6,9,5
Cloud Data Services,2.0,70000000.0,5,B2B,USA,1661.0,2007,failed,7,5,3,9,5,8,6,7
Therapeutics,2.0,164000000.0,2,Unknown,USA,1511.0,1998,ipo,8,6,6,7,6,8,5,7
Mobile,2.0,4000000.0,3,Unknown,USA,1511.0,1997,ipo,8,6,6,9,5,8,5,6
Software,2.0,10000000.0,1,Unknown,CAN,1511.0,1997,ipo,8,6,6,9,5,7,5,6
Hardware + Software,2.0,4091585.0,3,Unknown,USA,901.0,2008,active,7,5,4,9,7,7,6,6
Auctions,2.0,30000000.0,3,Unknown,USA,2710.0,2007,acquired,8,5,4,7,5,7,6,6
Sports,2.0,10158510.0,4,B2C,USA,972.0,2009,acquired,8,4,4,8,3,7,7,5
Software,2.0,25000.0,1,Unknown,USA,7534.0,2011,failed,5,4,3,6,4,4,7,5
Shoes,1.0,50000.0,1,Unknown,USA,4252.0,2008,failed,5,4,3,5,4,4,7,5
Curated Web,2.0,650000.0,2,B2C,USA,1511.0,2004,active,6,4,4,6,3,6,9,5
Biotechnology,2.0,2517000.0,2,Unknown,USA,1264.0,2009,failed,7,8,5,4,7,7,7,7
Software,2.0,40000000.0,3,Unknown,USA,3413.0,2002,acquired,8,5,4,9,5,7,6,6
Adventure Travel,2.0,275000.0,2,B2C,USA,2654.0,2012,active,6,4,3,6,3,6,9,5
Education,2.0,308887.0,4,Unknown,GBR,1511.0,2011,active,8,8,4,6,4,6,6,6
Biotechnology,2.0,5400000.0,1,Unknown,USA,1150.0,2006,acquired,8,9,6,6,7,9,6,9
Biotechnology,2.0,25100000.0,2,Unknown,CAN,147.0,1992,ipo,9,9,10,7,10,10,4,9
Hardware,2.0,162000000.0,2,Unknown,USA,379.0,2001,acquired,8,5,6,7,9,8,5,6
Social Media,3.0,250000.0,3,B2C,USA,898.0,2011,failed,5,3,3,8,3,4,10,4
Manufacturing,2.0,145000.0,1,B2B,USA,1511.0,2006,active,7,6,4,7,4,7,5,7
Pharmaceuticals,2.0,1470003.0,2,Unknown,ISR,917.0,2003,active,8,9,6,5,7,6,6,6
Biotechnology,2.0,4513712.0,3,Unknown,USA,1126.0,2010,failed,7,8,5,5,7,7,7,7
Biotechnology,2.0,400000.0,1,Unknown,USA,1285.0,2008,failed,6,8,5,4,7,7,7,7
Chat,2.0,392000.0,3,Unknown,SGP,4252.0,2008,acquired,7,5,4,7,4,7,6,6
Games,2.0,80000000.0,1,B2C,KOR,446.0,2000,ipo,8,4,7,8,6,7,7,6
Big Data Analytics,2.0,22200000.0,3,B2B,USA,634.0,2012,active,8,6,5,10,6,10,3,10
Software,2.0,8450000.0,1,Unknown,USA,1978.0,1997,active,7,5,5,8,4,6,6,6
Web Hosting,2.0,3500000.0,1,Unknown,USA,427.0,2000,acquired,7,5,7,6,6,7,5,6
Dod/Military,2.0,2020593.0,2,Unknown,USA,1289.0,2009,failed,6,4,3,5,4,5,7,5
Saas,2.0,39722024.0,1,B2B,GBR,2460.0,2006,acquired,8,6,4,10,5,10,4,10
Big Data,2.0,6600000.0,5,Unknown,GBR,684.0,2011,active,7,5,5,7,6,7,5,6
Mobile,2.0,239981.0,1,Unknown,USA,1511.0,2005,active,6,5,4,8,4,6,6,6
Curated Web,2.0,422500.0,3,B2C,USA,4004.0,2005,acquired,7,4,4,7,3,6,9,5
Social Media,2.0,3050000.0,1,B2C,USA,1884.0,2003,acquired,7,4,4,9,3,6,9,5
Software,2.0,4000000.0,1,Unknown,USA,8440.0,2009,acquired,7,5,4,8,4,7,6,6
Kids,2.0,261560.0,1,Unknown,ESP,1832.0,2005,active,6,5,4,6,4,6,6,6
Social Media,1.0,500000.0,1,B2C,USA,2664.0,2012,active,6,4,3,8,3,6,9,5
Discounts,2.0,1350000.0,1,Unknown,ESP,220.0,2005,active,6,5,6,6,6,6,5,6
Business Intelligence,3.0,1350000.0,4,Unknown,USA,6447.0,2012,acquired,7,5,3,7,4,7,6,6
Recruiting,2.0,2600000.0,1,B2B,USA,1354.0,2012,active,7,6,3,7,4,8,5,7
Clean Technology,2.0,17000000.0,1,Unknown,USA,1511.0,2011,ipo,9,9,6,7,8,8,5,6
Advertising,2.0,6000000.0,1,Unknown,USA,841.0,2002,acquired,7,5,4,9,4,7,6,6
Enterprise Software,2.0,855000.0,1,B2B,USA,2008.0,2011,acquired,7,6,4,9,4,10,4,10
Databases,2.0,2500000.0,1,Unknown,FRA,390.0,1999,failed,5,4,6,5,6,5,6,5
E-Commerce,2.0,35000.0,1,B2C,USA,1511.0,2013,active,6,5,3,8,4,6,7,5
Messaging,1.0,1681000.0,2,Unknown,NLD,161.0,2012,active,7,5,6,6,6,6,5,6
Enterprises,1.0,2000000.0,2,B2B,FRA,1511.0,2011,acquired,8,6,4,7,4,10,4,10
Fashion,2.0,25000.0,1,B2C,USA,5210.0,2011,failed,5,3,3,5,2,4,10,4
Networking,1.0,7242588.0,3,Unknown,USA,699.0,2003,active,7,5,6,7,6,7,5,6
Curated Web,1.0,2000000.0,1,B2C,USA,6870.0,2007,failed,5,3,3,5,3,4,10,4
Telecommunications,1.0,115000000.0,2,Unknown,USA,539.0,2001,ipo,8,6,6,7,7,8,4,7
Social Search,2.0,550000.0,1,Unknown,ISR,644.0,2013,active,6,4,5,6,4,6,7,5
Security,2.0,13200000.0,2,B2B,USA,1511.0,2013,active,8,8,3,7,4,10,4,10
Analytics,3.0,24300000.0,2,B2B,USA,1511.0,2012,active,8,6,3,9,5,10,4,10
Semiconductors,2.0,20063363.0,2,Unknown,USA,259.0,2003,active,7,6,8,6,9,7,5,6
Enterprise Software,1.0,705000.0,6,B2B,USA,439.0,1999,active,8,6,7,9,6,10,3,10
